遮瑕效果超级好，很亮，很白，很喜欢是我想要的,遮瑕效果|超级好,1
包装很好看，期待产品效果呦，第一次用这个牌子，但是是好牌子，信得过,包装|很好看,1
清洁度比较好吧，***的洗颜霜确实是比较赞的,清洁度|比较好,1
做活动买一送一，价格实惠，第一次用这个面膜，挺好用的，补水效果不错，精华也很多，味道淡淡的,精华|很多,1
好，和实物描述的一样，不错值得购买，物流也快,物流|快,1
清洁能力：清洁能力挺好的，闻着很清爽，还买一送一很实惠，洗完没有紧绷感,清洁能力|挺好的,1
物流很快，用起来感觉补水效果很明显,物流|很快,1
还不错，有两个替换装味道香，但不刺鼻，可能有点儿掉妆,味道|不刺鼻,1
包装看起来还挺不错，试用了下还可以，香香的味道,味道|香香的,1
还么用，看着不错，期待效果，物流超级给力,物流|超级给力,1
已经是第二次买了，用着不错，秒杀时买的，价位也合理,价位|合理,1
个人情况：给妈妈买的，还没开始用。应该还可以之前买过水乳感觉还行。物流速度倒是挺快的,物流速度|挺快的,1
面膜蛮轻薄的，也很服帖，透气性比较好，才刚用，还没看出效果，水分还可以，总体满意，大品牌让人放心,透气性|比较好,1
垃圾，先不说效果咋样，就你这形状不规整，能让人感觉好嘛,形状|不规整,1
送的片包装还不错,包装|还不错,1
送的手册超级喜欢，面膜也很服帖，**物流也特别给力，满意满意,物流|特别给力,1
很多精华液，面膜纸是薄透的，期待效果，物流速度很快,面膜纸|很快,0
到货快，好用，补水隔离效果好，价格实惠，很划算很喜欢,隔离效果|快,0
果然没骗人，比我用的那些韩国面膜好用，性价比又高，会一直回购,性价比|高,1
很好的面膜，补水效果杠杠滴。我用的所有护肤品都是***的，老牌子值得信赖,补水效果|杠杠滴,1
做活动买一送一，价格实惠，第一次用这个面膜，挺好用的，补水效果不错，精华也很多，味道淡淡的,补水效果|不错,1
发货快，物流给力！早上十点下的单，下午四点多一点就到了,物流|快,0
发货速度和配送服务还是一流的,配送服务|一流的,1
物流好快，已经收到了，试了一下还不错，很水润，喜欢的可以考虑,物流|好快,1
发货快，一如既往的好,发货|快,1
挺好的，东西收到了，快递速度快，给你们点个赞,快递速度|快,1
妆前隔离很好用啊，粉底有香味我不太喜欢有香味的怕熏到对象,粉底|有香味,1
非常喜欢，物超所值。超赞，物流还常快，商家服务好,物流|好,0
已经是第二次回购了，精华很多，也很补水而且用了二次后我鼻子上长的痘痘有消下去，皮肤也满水润的,痘痘|消下去,1
物流很快，东西质量不错，很喜欢,物流|很快,1
卸妆水好清爽不刺激，卸妆很干净，好大一瓶，能用很久，经济实惠,卸妆|很干净,1
收货迅速，不用等太久，叶藻的很保湿，配方最简单最保湿，墨角藻的黑面膜不行，水润面膜很粘不行,收货|迅速,1
